x = temp. degC, y = integration time, z = pixel counts
z(x,y) = p00 + p10*x + p01*y + p20*x^2 + p11*x*y + p30*x^3 + p21*x^2*y
px_num	rmse	p00	p10	p01	p20	p11	p30	p21
210	71.5722	1415.95	20.2294	1.03716e-05	-1.04789	-2.28374e-06	0.014534	8.4047e-08	
211	88.3012	1400.33	24.1008	1.47567e-05	-1.26721	-2.60553e-06	0.0177519	1.10802e-07	
212	94.5881	1397.68	24.9912	1.61171e-05	-1.32927	-2.71442e-06	0.0187917	1.21915e-07	
213	71.468	1416.65	20.3442	9.91556e-06	-1.05294	-2.29111e-06	0.0145908	8.45135e-08	
214	87.1491	1400.7	23.7519	1.48105e-05	-1.2494	-2.54815e-06	0.0174992	1.1077e-07	
215	90.9411	1397.57	25.0062	1.2637e-05	-1.30835	-2.71344e-06	0.0182833	1.09531e-07	
216	71.3668	1417.63	19.9509	1.11039e-05	-1.03744	-2.23418e-06	0.0144104	8.60323e-08	
217	79.7703	1462.08	10.3856	5.4865e-06	-0.586621	-1.60433e-06	0.00859052	7.0402e-08	
218	88.0156	1399.3	24.615	1.35514e-05	-1.2797	-2.72527e-06	0.0178013	1.06815e-07	
219	56.9945	1429.94	17.2745	4.31872e-06	-0.879439	-2.11889e-06	0.0120507	6.0373e-08	
220	81.7329	1408.26	22.1865	1.33839e-05	-1.16821	-2.43689e-06	0.0164065	1.02495e-07	
221	89.0562	1398.37	24.5099	1.39304e-05	-1.28481	-2.70643e-06	0.0179831	1.12787e-07	
222	88.7922	1403.75	23.7291	1.50629e-05	-1.25332	-2.5873e-06	0.0176164	1.14071e-07	
223	90.0015	1398.38	24.543	1.49892e-05	-1.28747	-2.66802e-06	0.0180137	1.13833e-07	
224	37.8808	1454.93	11.3828	3.02531e-06	-0.577901	-1.46812e-06	0.00788234	3.55985e-08	
225	70.4586	1415.51	20.7971	9.09467e-06	-1.06367	-2.37698e-06	0.0146121	7.7811e-08	
226	91.684	1398.33	24.7743	1.46173e-05	-1.3087	-2.71421e-06	0.0184264	1.16224e-07	
227	91.1609	1399.87	24.5893	1.5526e-05	-1.2996	-2.63377e-06	0.0182698	1.16925e-07	
228	68.341	1419.91	19.3924	1.05102e-05	-1.00109	-2.15979e-06	0.0138393	7.9237e-08	
229	95.9059	1394.56	25.5036	1.55868e-05	-1.35347	-2.80845e-06	0.0191141	1.25006e-07	
230	85.0771	1406.9	23.175	1.41917e-05	-1.21492	-2.5193e-06	0.0169882	1.07119e-07	
231	82.0374	1407.21	22.8517	1.28489e-05	-1.19531	-2.53033e-06	0.0167043	1.02089e-07	
232	66.1725	1423.9	18.3597	1.01249e-05	-0.953327	-2.07496e-06	0.0132351	8.0879e-08	
233	202.554	1302.78	47.0305	2.13781e-05	-2.371	-4.10553e-06	0.0323494	1.2716e-07	
234	85.5292	1402.67	23.3369	1.39964e-05	-1.224	-2.55487e-06	0.0171341	1.06953e-07	
235	88.5393	1404.55	23.009	1.54658e-05	-1.22844	-2.49522e-06	0.0174257	1.16883e-07	
236	52.6908	1434.92	16.1824	2.96956e-06	-0.819114	-1.99725e-06	0.0111706	5.3113e-08	
237	88.4143	1402.32	23.8501	1.43653e-05	-1.25629	-2.61035e-06	0.0176104	1.11667e-07	
238	85.6387	1406.81	22.7952	1.44267e-05	-1.20459	-2.49211e-06	0.0169572	1.09511e-07	
239	90.4262	1397.89	24.871	1.4691e-05	-1.30491	-2.72948e-06	0.0182646	1.13477e-07	
240	83.7826	1404.29	23.0215	1.37275e-05	-1.2023	-2.47187e-06	0.0167624	1.0254e-07	
241	67.8956	1419.51	19.8216	9.22578e-06	-1.02285	-2.26878e-06	0.0140881	7.83137e-08	
242	85.9075	1400.72	23.9019	1.29812e-05	-1.24705	-2.65719e-06	0.0174047	1.06591e-07	
243	76.8568	1416.39	20.7939	1.25138e-05	-1.0972	-2.30354e-06	0.0154096	9.67965e-08	
244	74.7897	1415.71	20.7992	1.15521e-05	-1.08289	-2.28791e-06	0.0150448	9.04043e-08	
245	85.5655	1403.39	23.3188	1.43372e-05	-1.22228	-2.52899e-06	0.0170783	1.07821e-07	
246	86.4148	1402.84	23.9034	1.19056e-05	-1.24976	-2.69337e-06	0.0174466	1.09619e-07	
247	64.8503	1422.08	19.1754	7.10389e-06	-0.98196	-2.25131e-06	0.0134914	7.19228e-08	
248	87.8452	1403.64	23.5874	1.50024e-05	-1.2487	-2.56613e-06	0.017581	1.13687e-07	
