led,intensity,S,M,L,Rods,Mel
4,1820,8.573170933819878e-07,6.084781507686191e-06,4.564370080696378e-06,7.92457925292613e-06,7.138313736027916e-06
4,1885,9.013132478121065e-07,6.3593957464339495e-06,4.767293070579388e-06,8.295696707546008e-06,7.4804981479128575e-06
4,1950,9.109392713350346e-07,6.414735216686056e-06,4.808060470156605e-06,8.370594448441881e-06,7.5498612012333115e-06
4,2015,9.6283592019045e-07,6.689086403931632e-06,5.013407216383786e-06,8.743903778248764e-06,7.895917683580303e-06
4,2080,9.732790478302746e-07,6.756874269353422e-06,5.0635889678000925e-06,8.833369039025679e-06,7.977201332542704e-06
4,2145,1.0274573992971822e-06,7.036645080897572e-06,5.274555776127569e-06,9.211114378607887e-06,8.326875614292528e-06
4,2210,1.0513351857261447e-06,7.181198994370442e-06,5.3828159496481095e-06,9.402128372231e-06,8.501235282005678e-06
4,2275,1.0863028410961555e-06,7.39810475750788e-06,5.54295810637682e-06,9.695071864636879e-06,8.771414728050135e-06
4,2340,1.1090553294897815e-06,7.524296822577326e-06,5.636374671281484e-06,9.86704846183762e-06,8.931288310199363e-06
4,2405,1.1393841442759885e-06,7.731309023463019e-06,5.789275813956956e-06,1.0142762656080337e-05,9.183217125425285e-06
4,2470,1.1621888652094547e-06,7.870285304888399e-06,5.892395512391492e-06,1.0326511244644388e-05,9.351351659126407e-06
4,2535,1.1848467818499013e-06,7.993655870787974e-06,5.983668719180189e-06,1.049568587318274e-05,9.508971645376816e-06
4,2600,1.2276439394349135e-06,8.205448089536601e-06,6.144123716198724e-06,1.0779688187029218e-05,9.770944997500668e-06
4,2665,1.2565057970587054e-06,8.386617473988365e-06,6.2791806513297315e-06,1.1022184492378333e-05,9.99335932372209e-06
4,2730,1.2894677637782051e-06,8.573110192893914e-06,6.416785654635378e-06,1.1274285494868725e-05,1.0226519932297972e-05
4,2795,1.3020860050096483e-06,8.647632173785771e-06,6.4721398658357305e-06,1.1377181015456545e-05,1.0322777780369226e-05
4,2860,1.3195622318835015e-06,8.768996318107024e-06,6.557955785614835e-06,1.1544411194705808e-05,1.0478016469491358e-05
4,2925,1.3556607997840762e-06,8.96774322028339e-06,6.70812722283915e-06,1.1808391946672452e-05,1.0720366484474279e-05
4,2990,1.3936620722851686e-06,9.221469134553457e-06,6.897801627434462e-06,1.2140286210288731e-05,1.1021759873816173e-05
4,3055,1.4321796581954265e-06,9.410719037411815e-06,7.040945852284404e-06,1.2395796218133286e-05,1.1258269243589634e-05
4,3120,1.4374000811140036e-06,9.434571964768948e-06,7.058902104333337e-06,1.2425624666752607e-05,1.128555532623499e-05
4,3185,1.5015106245870647e-06,9.776226059152398e-06,7.314059309632715e-06,1.2890653017422095e-05,1.1716629846725466e-05
4,3250,1.5172027675416664e-06,9.879094822300268e-06,7.392332748123163e-06,1.301995896089339e-05,1.1831865887788985e-05
4,3315,1.5509742066088762e-06,1.007615632656233e-05,7.5364168488674825e-06,1.3292325983316112e-05,1.2086442604264397e-05
4,3380,1.5627147903713358e-06,1.0127288573250288e-05,7.574670847390638e-06,1.3363725576758319e-05,1.215406248209303e-05
4,3445,1.592042017605319e-06,1.0303617262799186e-05,7.70396971177345e-06,1.3602556182329265e-05,1.2374920847619264e-05
4,3510,1.600073468850132e-06,1.0350945322927863e-05,7.737960985347063e-06,1.3667319483483493e-05,1.2435588235620955e-05
4,3575,1.646082867642314e-06,1.0607902616726997e-05,7.931450364872885e-06,1.4007155241306423e-05,1.2747093500820888e-05
4,3640,1.6695782917673701e-06,1.0756562663337865e-05,8.040050388153688e-06,1.4207610121400096e-05,1.2931929888026504e-05
4,3705,1.6959332214595766e-06,1.0910980686275074e-05,8.156291548322303e-06,1.440929942341594e-05,1.3115793512874853e-05
4,3770,1.7467782793071626e-06,1.1142896376737653e-05,8.334128150387778e-06,1.4719304524184802e-05,1.34024722774441e-05
4,3835,1.7591457829017336e-06,1.1198497004175393e-05,8.372565186693411e-06,1.4803988727916858e-05,1.3485285497842287e-05
4,3900,1.84258375844442e-06,1.1638822062445996e-05,8.705854572829282e-06,1.5386158717923883e-05,1.4019839348776972e-05
4,3965,1.8756238840624125e-06,1.1763881104238753e-05,8.795620509916346e-06,1.5571912159531664e-05,1.4201074178261488e-05
4,4030,1.8905863251964458e-06,1.1852159772930884e-05,8.861480199403755e-06,1.5685044081148782e-05,1.4303945457316119e-05
4,4095,1.9156030289051817e-06,1.2008402073741864e-05,8.978218135713175e-06,1.589197387255395e-05,1.4493239438878696e-05
5,0,4.956208186814481e-16,8.294868286579483e-12,1.5761166269685495e-11,1.2732374970044782e-12,2.3808667099586866e-13
5,65,7.749048632391597e-10,7.67583802977866e-08,6.829713988739e-08,5.768519747394439e-08,3.6622950322923615e-08
5,130,5.020514609449602e-09,3.496560423167413e-07,3.096232039196926e-07,2.7312897657054345e-07,1.7874778116891013e-07
5,195,1.0996916618902077e-08,5.601195758773545e-07,4.932283824083712e-07,4.4683052509468106e-07,2.9692675127206753e-07
5,260,2.1303199330686648e-08,9.337175283729899e-07,8.152358439351595e-07,7.646979664358891e-07,5.170515973158998e-07
5,325,3.22783030786273e-08,1.1954361419534442e-06,1.0396908468938866e-06,9.937956782485818e-07,6.791472833380578e-07
5,390,4.596548654680833e-08,1.607882029992551e-06,1.3892733897360974e-06,1.3630288371878743e-06,9.435162027997964e-07
5,455,5.8575826424465804e-08,1.9473770507848173e-06,1.6761634158586302e-06,1.670914471722301e-06,1.1658927384154689e-06
5,520,6.666449738174842e-08,2.1056008856407977e-06,1.809617137289782e-06,1.81750181033881e-06,1.2736606251835944e-06
5,585,8.078131939600742e-08,2.467850071490387e-06,2.113535309757951e-06,2.153427975576568e-06,1.520014163545521e-06
5,650,8.214975179493654e-08,2.522127226260383e-06,2.1583547045386197e-06,2.2050148371411068e-06,1.5582696576716602e-06
5,715,9.863689006398557e-08,2.9026498343017962e-06,2.4762748450013684e-06,2.5628072371731053e-06,1.8230397365747255e-06
5,780,9.942202899239363e-08,2.9248057075069445e-06,2.49523922143925e-06,2.5830991443449027e-06,1.838175995685914e-06
5,845,1.1099185985348401e-07,3.2361613519102505e-06,2.753199603714555e-06,2.880765885471859e-06,2.0606726720573767e-06
5,910,1.1743097824600322e-07,3.3490306394523536e-06,2.8478967541584483e-06,2.987270517746876e-06,2.1399146892206045e-06
5,975,1.314028875497613e-07,3.634885478528386e-06,3.085728391176802e-06,3.261243418284641e-06,2.3455311669076377e-06
5,1040,1.353558082976666e-07,3.7456800370763425e-06,3.1772503075590666e-06,3.3681270704165155e-06,2.426020917265201e-06
5,1105,1.4940837940088726e-07,4.017568724059956e-06,3.4046202969017597e-06,3.6264212760299712e-06,2.619172436209054e-06
5,1170,1.5614552734155887e-07,4.177556315719832e-06,3.5368557037582066e-06,3.7814995290276578e-06,2.736497891621979e-06
5,1235,1.6829986402075204e-07,4.376613926534866e-06,3.7023614453392474e-06,3.974558254357445e-06,2.8823617765515827e-06
5,1300,1.7651784938374476e-07,4.555739643072064e-06,3.850990101179741e-06,4.147771813645094e-06,3.013766700412877e-06
5,1365,1.787153041620459e-07,4.64517355679424e-06,3.9241122897310846e-06,4.235045342346012e-06,3.0795584658441955e-06
5,1430,1.918491734103628e-07,4.925382815479415e-06,4.156631680792174e-06,4.505263250321719e-06,3.2837807922576174e-06
5,1495,2.0162316315739875e-07,5.035570859371314e-06,4.24915836791911e-06,4.612605737067651e-06,3.365385211487175e-06
5,1560,2.1263660241771452e-07,5.307922080785301e-06,4.475665758960615e-06,4.873166973979062e-06,3.561377685580224e-06
5,1625,2.1352705523236506e-07,5.320330240785407e-06,4.484672678807202e-06,4.888724182530137e-06,3.574648772038597e-06
5,1690,2.2235676636408232e-07,5.560141559377851e-06,4.6831090270521255e-06,5.119756903305211e-06,3.7488284839319502e-06
5,1755,2.2623871349243963e-07,5.656210446513888e-06,4.762743620149926e-06,5.212011951568975e-06,3.81843058591331e-06
5,1820,2.462763723740882e-07,5.959326823768189e-06,5.014997177462096e-06,5.5071510565250265e-06,4.042443468462459e-06
5,1885,2.525580656984717e-07,6.066357444704289e-06,5.104056410869456e-06,5.610870324198754e-06,4.121586313214908e-06
5,1950,2.626003808786186e-07,6.313840326189183e-06,5.310244106088143e-06,5.8465575128518755e-06,4.2982645987989e-06
5,2015,2.68657840616029e-07,6.475386693990008e-06,5.444305508403535e-06,6.001068933696603e-06,4.414573950700851e-06
5,2080,2.744555811264863e-07,6.576151237625614e-06,5.5271409726465165e-06,6.102323969462126e-06,4.493156823077192e-06
5,2145,2.8540604602699893e-07,6.7492230125321075e-06,5.671110356429583e-06,6.270848681406565e-06,4.621476097315083e-06
5,2210,2.932760837331657e-07,6.884514572186415e-06,5.784233224098878e-06,6.401112125013245e-06,4.720220168653979e-06
5,2275,3.108551588107295e-07,7.2196138261228505e-06,6.062483047467242e-06,6.7242023426682965e-06,4.963807638745012e-06
5,2340,3.119875192607492e-07,7.2365333949560595e-06,6.076700605500473e-06,6.7420662857282524e-06,4.978447796765132e-06
5,2405,3.238693152828167e-07,7.515610407640856e-06,6.309554094786861e-06,7.006859880992741e-06,5.177074595422687e-06
5,2470,3.269348545479041e-07,7.564655793184375e-06,6.351028834786557e-06,7.0538009359209965e-06,5.212957286776051e-06
5,2535,3.3535913289248244e-07,7.761638470308198e-06,6.512853536142595e-06,7.247951562689776e-06,5.361341759654132e-06
5,2600,3.3937997608245244e-07,7.845978381247812e-06,6.583017093101724e-06,7.329072149954087e-06,5.422928477280895e-06
5,2665,3.5889691917993194e-07,8.155696084529075e-06,6.843765853928228e-06,7.622563841129234e-06,5.643208064485766e-06
5,2730,3.6336646713007806e-07,8.255846147299774e-06,6.924034360795353e-06,7.726575020251116e-06,5.7244642140970446e-06
5,2795,3.711867195058376e-07,8.429493688947745e-06,7.069160869898654e-06,7.891847809807958e-06,5.849039393910574e-06
