,0
781,704.0633
782,704.5455147
783,705.0277626
784,705.5100437
785,705.9923581
786,706.4747057
787,706.9570866
788,707.4395007
789,707.9219481
790,708.4044287
791,708.8869426
792,709.3694897
793,709.8520701
794,710.3346837
795,710.8173305
796,711.3000106
797,711.782724
798,712.2654706
799,712.7482504
800,713.2310635
801,713.7139098
802,714.1967894
803,714.6797022
804,715.1626483
805,715.6456276
806,716.1286402
807,716.611686
808,717.0947651
809,717.5778774
810,718.0610229
811,718.5442017
812,719.0274138
813,719.5106591
814,719.9939376
815,720.4772494
816,720.9605944
817,721.4439727
818,721.9273843
819,722.410829
820,722.894307
821,723.3778183
822,723.8613628
823,724.3449406
824,724.8285516
825,725.3121959
826,725.7958734
827,726.2795841
828,726.7633281
829,727.2471053
830,727.7309158
831,728.2147596
832,728.6986365
833,729.1825468
834,729.6664902
835,730.150467
836,730.6344769
837,731.1185201
838,731.6025966
839,732.0867063
840,732.5708493
841,733.0550255
842,733.5392349
843,734.0234776
844,734.5077536
845,734.9920627
846,735.4764052
847,735.9607809
848,736.4451898
849,736.929632
850,737.4141074
851,737.898616
852,738.383158
853,738.8677331
854,739.3523415
855,739.8369832
856,740.3216581
857,740.8063662
858,741.2911076
859,741.7758823
860,742.2606902
861,742.7455313
862,743.2304057
863,743.7153133
864,744.2002542
865,744.6852283
866,745.1702357
867,745.6552763
868,746.1403501
869,746.6254572
870,747.1105976
871,747.5957712
872,748.0809781
873,748.5662181
874,749.0514915
875,749.5367981
876,750.0221379
877,750.507511
878,750.9929173
879,751.4783569
880,751.9638297
881,752.4493358
882,752.9348751
883,753.4204477
884,753.9060535
885,754.3916925
886,754.8773648
887,755.3630704
888,755.8488092
889,756.3345812
890,756.8203865
891,757.306225
892,757.7920968
893,758.2780018
894,758.7639401
895,759.2499116
896,759.7359164
897,760.2219544
898,760.7080257
899,761.1941302
900,761.6802679
901,762.1664389
902,762.6526432
903,763.1388807
904,763.6251514
905,764.1114554
906,764.5977927
907,765.0841631
908,765.5705669
909,766.0570038
910,766.5434741
911,767.0299775
912,767.5165142
913,768.0030842
914,768.4896874
915,768.9763239
916,769.4629936
917,769.9496965
918,770.4364327
919,770.9232022
920,771.4100048
921,771.8968408
922,772.38371
923,772.8706124
924,773.3575481
925,773.844517
926,774.3315192
927,774.8185546
928,775.3056232
929,775.7927251
930,776.2798603
931,776.7670287
932,777.2542303
933,777.7414652
934,778.2287334
935,778.7160348
936,779.2033694
937,779.6907373
938,780.1781384
939,780.6655728
940,781.1530404
941,781.6405413
942,782.1280754
943,782.6156428
944,783.1032434
945,783.5908772
946,784.0785443
947,784.5662447
948,785.0539783
949,785.5417451
950,786.0295452
951,786.5173785
952,787.0052451
953,787.493145
954,787.981078
955,788.4690444
956,788.9570439
957,789.4450767
958,789.9331428
959,790.4212421
960,790.9093747
961,791.3975405
962,791.8857395
963,792.3739718
964,792.8622374
965,793.3505361
966,793.8388682
967,794.3272335
968,794.815632
969,795.3040638
970,795.7925288
971,796.2810271
972,796.7695586
973,797.2581233
974,797.7467213
975,798.2353526
976,798.7240171
977,799.2127148
978,799.7014458
979,800.1902101
980,800.6790076
981,801.1678383
982,801.6567023
983,802.1455995
984,802.63453
985,803.1234937
986,803.6124907
987,804.1015209
988,804.5905844
989,805.0796811
990,805.568811
991,806.0579742
992,806.5471707
993,807.0364004
994,807.5256633
995,808.0149595
996,808.5042889
997,808.9936516
998,809.4830476
999,809.9724767
1000,810.4619392
1001,810.9514348
1002,811.4409637
1003,811.9305259
1004,812.4201213
1005,812.90975
1006,813.3994119
1007,813.889107
1008,814.3788354
1009,814.8685971
1010,815.358392
1011,815.8482201
1012,816.3380815
1013,816.8279761
1014,817.317904
1015,817.8078651
1016,818.2978595
1017,818.7878871
1018,819.2779479
1019,819.7680421
1020,820.2581694
1021,820.74833
1022,821.2385239
1023,821.728751
