rmv,LEDs_temp,drivers_temp,board_temp,micro_temp,integration_time,input_power,dimming_level,led,intensity
0.00944842,25.12,26.23,29.22,34.26,769,2622,100,2,975
0.021533089,25.08,26.15,29.37,34.26,762,3284,100,8,2405
0.016703453,25.16,26.15,29.29,33.96,772,2692,100,1,1365
0.032500513,25.12,26.03,29.22,34.55,591,4269,100,8,3705
0.004982721,25.16,26.03,29.26,34.26,806,2147,100,3,585
0.006851242,25.24,25.84,29.44,34.55,756,2503,100,3,975
0.022566859,25.2,25.92,29.59,34.26,597,7397,100,4,3185
0.004763798,25.84,25.99,29.4,34.55,871,1685,100,0,260
0.01180936,24.72,25.95,29.29,34.55,790,2261,100,8,1040
0.023243008,24.96,25.95,29.52,34.26,696,7776,100,4,3315
0.026461355,25.96,25.88,29.29,34.55,694,3494,100,1,2275
0.009534222,25.16,26.19,29.37,34.55,763,3209,100,3,1365
0.022648439,25.52,25.88,29.52,34.55,645,5012,100,2,2665
0.015001968,25.52,25.92,29.48,34.55,779,4944,100,4,1885
0.02165884,25.56,26.07,29.37,34.55,699,7246,100,4,3055
0.014533713,26.19,25.92,29.4,34.26,771,7928,100,7,1625
0.013250543,29.06,26.07,29.67,34.55,773,10365,100,6,2340
0.000356058,28.35,26.23,29.4,34.26,1782,1365,100,2,65
0.024641061,25,25.68,29.26,33.96,791,6588,100,3,3900
0.017463323,26.74,25.84,29.14,34.26,860,9338,100,7,1950
0.015072172,26.58,25.8,29.29,34.26,791,2636,100,8,1625
0.019850425,27.28,25.99,29.07,33.96,1002,9448,100,5,4095
0.013394298,27.62,25.92,29.26,33.96,835,5998,100,5,2470
0.02702429,26.7,26.07,29.29,34.55,686,5884,100,2,3315
0.020824924,26.07,25.99,29.22,33.96,800,7063,100,4,2990
0.010536795,25.6,26.11,29.33,34.55,756,2831,100,2,1105
0.011821858,25.12,26.15,29.37,33.96,788,2273,100,9,780
0.021879423,25.12,26.15,29.37,34.55,754,3113,100,1,1820
0.011153927,25.12,26.23,29.25,34.26,888,6268,100,7,1300
0.043925036,26.23,26.31,29.25,34.26,425,5099,100,1,4030
0.025448611,26.43,26.11,29.33,34.55,740,8632,100,4,3770
0.037284531,26.54,26.19,29.4,34.55,434,4180,100,0,3055
